identificacion,capitalSuscrito,numeroTotalEmpleados
01791322703001,400.0000,5
01791322975001,30000.0000,7
01791323025001,20400.0000,65
01791323084001,240000.0000,4
01791323092001,2280.0000,7
01791323122001,249800.0000,2
01791323289001,10000.0000,6
01791323564001,,37
01791323734001,16000.0000,2
01791324404001,50000.0000,25
01791325818001,625060.0000,46
01791325842001,1500.0000,4
01791325923001,1480.0000,3
01791326466001,10000.0000,12
01791326768001,1000800.0000,427
01791327489001,10000.0000,1
01791327675001,6000.0000,2
01791327713001,10000.0000,4
01791327934001,800.0000,2
01791328183001,10000.0000,4
01791328574001,10000.0000,2
01791329074001,10000.0000,
01791329082001,400.0000,6
01791329406001,840.0000,6
01791329708001,10000.0000,14
01791330463001,200000.0000,43
01791330846001,16000.0000,1
01791330862001,225120.0000,26
01791330919001,200000.0000,98
01791330943001,3800000.0000,434
01791331168001,1200000.0000,4
01791331427001,400.0000,2
01791331826001,362398.0000,2
01791331958001,800.0000,2
01791331990001,10000.0000,38
01791332458001,10000.0000,51
01791333462001,5000.0000,2
01791333659001,2000.0000,7
01791333837001,842000.0000,1
01791334132001,5000.0000,3
01791334299001,10000.0000,9
01791334329001,10000.0000,15
01791334744001,2909830.4000,43
01791335066001,1137800.0000,96
01791337778001,1178103.0000,15
01791338162001,5000.0000,8
01791338278001,21001.0000,46
01791338502001,7815460.0000,1184
01791339088001,2200.0000,2
01791339169001,310000.0000,335
01791339894001,10000.0000,
01791340000001,1200.0000,3
01791340639001,5000.0000,12
01791341325001,10000.0000,112
01791341686001,5000.0000,34
01791341716001,10000.0000,2
01391909470001,800.0000,
01391909497001,800.0000,
01391910231001,800.0000,
01391910487001,10000.0000,
01391910770001,800.0000,
01391911742001,800.0000,
01391911750001,2500.0000,
01391912102001,800.0000,
01391912382001,800.0000,
01391912773001,800.0000,
01391913796001,1000.0000,
01391914393001,800.0000,
01391914466001,800.0000,
01391914504001,800.0000,
01391914520001,400.0000,
01391914911001,10000.0000,
01391914946001,800.0000,
01391915179001,100.0000,
01391915314001,800.0000,
01391915489001,10000.0000,
01391916019001,800.0000,
01391916450001,2000.0000,
01391916760001,10000.0000,
01391916973001,10000.0000,
01391917139001,800.0000,
01391917414001,10000.0000,
01391917910001,100.0000,
01490828652001,400.0000,
01490828768001,200.0000,
01490828857001,800.0000,
01490829225001,400.0000,
01490829500001,400.0000,
01490829578001,600.0000,
01490829640001,1000.0000,
01490830126001,1100.0000,
01498303826001,6000.0000,
01498303907001,500.0000,
01590017740001,40000.0000,3
01591706817001,1000.0000,20
01591709484001,900.0000,1
01591710822001,2000.0000,12
01591711403001,900.0000,5
01391804040001,300000.0000,4
01391806752001,1000.0000,4
01391806779001,1000.0000,4
01191737241001,400.0000,3
01790741168001,400.0000,6
01790744698001,53316.0000,2
01790746046001,3200.0000,2
01790747360001,277000.0000,4
01790748006001,800.0000,5
01790749509001,2000.0000,621
01790760731001,16000.0000,7
01790772500001,200002.0000,11
01790780449001,1000.0000,2
01790783162001,3864099.0000,54
01790783308001,20000.0000,12
01790786595001,804.0000,54
01790789594001,1600.0000,3
01790806952001,60000.0000,17
01790818896001,1800.0000,6
01790821331001,812.0000,10
01790824977001,31681.0000,45
01790826171001,200000.0000,34
01790827755001,1024.1600,2
01790827895001,1000.0000,3
01790828492001,20409.0000,22
01790830586001,10000.0000,2
01790834948001,4040.0000,7
01790844307001,92400.0000,30
01790850072001,21742.0000,13
01790861694001,17400.0000,5
01790862917001,1521520.0000,158
01790863573001,79546.0000,3
01790869997001,500000.0000,238
01790870286001,800.0000,2
01790875067001,440000.0000,14
01790879801001,400.0000,3
01790881814001,700000.0000,48
01790884066001,21000.0000,3
01790884619001,32000.0000,3
01790884848001,10000.0000,3
01790890392001,45000.0000,26
01790891046001,26674.0000,5
01790893065001,170354.0000,8
01791341899001,1399000.0000,47
01791341910001,400.0000,8
01791341929001,400.0000,4
01791342186001,10000.0000,47
01791342690001,57800.0000,29
01791343360001,5000.0000,11
01791343387001,1000000.0000,14
01791343808001,153706.0000,3
01791344073001,1315388.0000,66
01791344227001,30400.0000,18
01791344316001,90000.0000,29
01791345134001,144000.0000,55
01791345169001,400.0000,6
01791345347001,800.0000,3
01791345606001,3000.0000,1
01791345657001,800.0000,12
01791345878001,400.0000,3
01791346106001,1211500.0000,0
01791349490001,790000.0000,4
01791349776001,400.0000,5
01791349962001,47520.0000,6
01791350049001,10000.0000,15
01791350103001,10000.0000,2
01791350162001,20080.0000,57
01791350294001,400.0000,6
01792259797001,1000.0000,1
01792260361001,800.0000,19
01792080452001,800.0000,1
01792083737001,21000.0000,8
01792084792001,800.0000,4
01792086701001,800.0000,2
01792087732001,10000.0000,11
01791991095001,2000.0000,11
01791999363001,810.0000,4
01792348412001,800.0000,7
01792348919001,400.0000,4
01792349001001,400.0000,1
01792349109001,400.0000,3
01792349133001,1000.0000,6
01792349206001,600.0000,6
01792349532001,800.0000,2
01792349680001,800.0000,34
01792349761001,400.0000,3
01792349788001,2000.0000,2
01792349915001,400.0000,26
01792350182001,10000.0000,2
01792350190001,900.0000,12
01792350204001,400.0000,7
01792350220001,20000.0000,2
01792350379001,502667.0000,64
01792350522001,2000.0000,3
01792350662001,800.0000,3
01792350697001,400.0000,3
01792350786001,800.0000,1
